,weekday,month,bus_route_id,violation_type,violations
409,Friday,2023-10,M15+,MOBILE BUS LANE,47
410,Friday,2023-10,Q43,MOBILE BUS LANE,144
411,Friday,2023-10,Q44+,MOBILE BUS LANE,338
412,Friday,2023-10,Q58,MOBILE BUS LANE,74
413,Friday,2023-10,S79+,MOBILE BUS LANE,34
414,Friday,2023-11,B25,MOBILE BUS LANE,180
415,Friday,2023-11,B42,MOBILE BUS LANE,38
416,Friday,2023-11,B44+,MOBILE BUS LANE,111
417,Friday,2023-11,B46+,MOBILE BUS LANE,167
418,Friday,2023-11,B62,MOBILE BUS LANE,5
419,Friday,2023-11,BX12+,MOBILE BUS LANE,917
420,Friday,2023-11,BX19,MOBILE BUS LANE,276
421,Friday,2023-11,BX35,MOBILE BUS LANE,145
422,Friday,2023-11,BX36,MOBILE BUS LANE,185
423,Friday,2023-11,BX41+,MOBILE BUS LANE,805
424,Friday,2023-11,M14+,MOBILE BUS LANE,9
425,Friday,2023-11,M15+,MOBILE BUS LANE,411
426,Friday,2023-11,M23+,MOBILE BUS LANE,10
427,Friday,2023-11,M34+,MOBILE BUS LANE,13
428,Friday,2023-11,Q43,MOBILE BUS LANE,163
429,Friday,2023-11,Q44+,MOBILE BUS LANE,315
430,Friday,2023-11,Q54,MOBILE BUS LANE,284
431,Friday,2023-11,Q58,MOBILE BUS LANE,94
432,Friday,2023-11,S79+,MOBILE BUS LANE,33
433,Friday,2023-12,B25,MOBILE BUS LANE,314
434,Friday,2023-12,B26,MOBILE BUS LANE,7
435,Friday,2023-12,B42,MOBILE BUS LANE,40
436,Friday,2023-12,B44+,MOBILE BUS LANE,395
437,Friday,2023-12,B46+,MOBILE BUS LANE,860
438,Friday,2023-12,B62,MOBILE BUS LANE,5
439,Friday,2023-12,BX12+,MOBILE BUS LANE,913
440,Friday,2023-12,BX19,MOBILE BUS LANE,386
441,Friday,2023-12,BX35,MOBILE BUS LANE,166
442,Friday,2023-12,BX36,MOBILE BUS LANE,251
443,Friday,2023-12,BX41+,MOBILE BUS LANE,1077
444,Friday,2023-12,M14+,MOBILE BUS LANE,187
445,Friday,2023-12,M15+,MOBILE BUS LANE,1046
446,Friday,2023-12,M23+,MOBILE BUS LANE,21
447,Friday,2023-12,M34+,MOBILE BUS LANE,115
448,Friday,2023-12,M86+,MOBILE BUS LANE,16
449,Friday,2023-12,Q43,MOBILE BUS LANE,169
450,Friday,2023-12,Q44+,MOBILE BUS LANE,381
451,Friday,2023-12,Q54,MOBILE BUS LANE,687
452,Friday,2023-12,Q58,MOBILE BUS LANE,84
453,Friday,2023-12,S79+,MOBILE BUS LANE,34
454,Friday,2024-01,B25,MOBILE BUS LANE,195
455,Friday,2024-01,B26,MOBILE BUS LANE,8
456,Friday,2024-01,B42,MOBILE BUS LANE,29
457,Friday,2024-01,B44+,MOBILE BUS LANE,235
458,Friday,2024-01,B46+,MOBILE BUS LANE,564
459,Friday,2024-01,B62,MOBILE BUS LANE,4
460,Friday,2024-01,BX12+,MOBILE BUS LANE,620
461,Friday,2024-01,BX19,MOBILE BUS LANE,310
462,Friday,2024-01,BX35,MOBILE BUS LANE,114
463,Friday,2024-01,BX36,MOBILE BUS LANE,212
464,Friday,2024-01,BX41+,MOBILE BUS LANE,783
465,Friday,2024-01,M14+,MOBILE BUS LANE,160
466,Friday,2024-01,M15+,MOBILE BUS LANE,1136
467,Friday,2024-01,M23+,MOBILE BUS LANE,52
468,Friday,2024-01,M34+,MOBILE BUS LANE,122
469,Friday,2024-01,M86+,MOBILE BUS LANE,5
470,Friday,2024-01,Q43,MOBILE BUS LANE,109
471,Friday,2024-01,Q44+,MOBILE BUS LANE,312
472,Friday,2024-01,Q54,MOBILE BUS LANE,424
473,Friday,2024-01,Q58,MOBILE BUS LANE,97
474,Friday,2024-01,S79+,MOBILE BUS LANE,16
475,Friday,2024-02,B25,MOBILE BUS LANE,105
