,bus_route_id,month,weekday,violation_type,violations
447,B26,2024-08,Thursday,MOBILE BUS LANE,2
448,B26,2024-08,Tuesday,MOBILE BUS LANE,2
449,B26,2024-08,Wednesday,MOBILE BUS LANE,1
450,B26,2024-09,Friday,MOBILE BUS LANE,2
451,B26,2024-09,Monday,MOBILE BUS STOP,62
452,B26,2024-09,Monday,MOBILE DOUBLE PARKED,24
453,B26,2024-09,Thursday,MOBILE BUS LANE,1
454,B26,2024-09,Wednesday,MOBILE BUS LANE,1
455,B26,2024-10,Friday,MOBILE BUS LANE,4
456,B26,2024-10,Friday,MOBILE BUS STOP,357
457,B26,2024-10,Friday,MOBILE DOUBLE PARKED,58
458,B26,2024-10,Monday,MOBILE BUS LANE,3
459,B26,2024-10,Monday,MOBILE BUS STOP,315
460,B26,2024-10,Monday,MOBILE DOUBLE PARKED,54
461,B26,2024-10,Saturday,MOBILE BUS STOP,249
462,B26,2024-10,Saturday,MOBILE DOUBLE PARKED,43
463,B26,2024-10,Sunday,MOBILE BUS LANE,2
464,B26,2024-10,Sunday,MOBILE BUS STOP,197
465,B26,2024-10,Sunday,MOBILE DOUBLE PARKED,20
